-20 0.0456473 -20 
-19 0.00788827 -19 
-18 -0.0417215 -18 
-17 -0.0565528 -17 
-16 -0.017994 -16 
-15 0.0433525 -15 
-14 0.0707577 -14 
-13 0.0323205 -13 
-12 -0.0447144 -12 
-11 -0.0909082 -11 
-10 -0.0544021 -10 
-9 0.0457909 -9 
-8 0.12367 -8 
-7 0.0938552 -7 
-6 -0.0465692 -6 
-5 -0.191785 -5 
-4 -0.189201 -4 
-3 0.04704 -3 
-2 0.454649 -2 
-1 0.841471 -1 
0 1 0 
1 0.841471 1 
2 0.454649 2 
3 0.04704 3 
4 -0.189201 4 
5 -0.191785 5 
6 -0.0465692 6 
7 0.0938552 7 
8 0.12367 8 
9 0.0457909 9 
10 -0.0544021 10 
11 -0.0909082 11 
12 -0.0447144 12 
13 0.0323205 13 
14 0.0707577 14 
15 0.0433525 15 
16 -0.017994 16 
17 -0.0565528 17 
18 -0.0417215 18 
19 0.00788827 19 
20 0.0456473 20 
